roll,die1,die2,croupier
510,5,2,Kris
511,3,1,Kris
512,1,2,Kris
513,1,5,Kris
514,5,1,Kris
515,2,1,Kris
516,5,3,Kris
517,1,3,Kris
518,2,3,Kris
519,4,2,Kris
520,2,2,Kris
521,2,6,Kris
522,3,2,Kris
523,1,6,Kris
524,2,3,Kris
525,1,5,Kris
526,3,5,Kris
527,2,2,Kris
528,4,4,Kris
529,4,3,Kris
530,5,4,Kris
531,6,6,Kris
532,2,4,Kris
533,4,5,Kris
534,3,3,Kris
535,4,6,Kris
536,4,6,Kris
537,5,3,Kris
538,3,1,Kris
539,1,3,Kris
540,6,5,Kris
541,3,4,Kris
542,5,1,Kris
543,2,4,Kris
544,1,1,Kris
545,3,4,Kris
546,5,6,Kris
547,5,3,Kris
548,6,2,Kris
549,1,1,Kris
550,4,4,Kris
551,3,5,Kris
552,4,4,Kris
553,4,1,Kris
554,3,2,Kris
555,4,3,Kris
556,3,6,Kris
557,4,4,Kris
558,3,1,Kris
559,4,1,Kris
560,6,2,Kris
561,2,2,Kris
562,5,6,Kris
563,2,1,Kris
564,1,4,Kris
565,2,6,Kris
566,6,6,Kris
567,4,1,Kris
568,1,3,Kris
569,4,5,Kris
570,3,6,Kris
571,6,4,Kris
572,6,6,Kris
573,3,4,Kris
574,5,3,Kris
575,3,3,Kris
576,1,3,Kris
577,4,4,Kris
578,6,3,Kris
579,1,1,Kris
580,4,3,Kris
581,4,1,Kris
582,5,5,Kris
583,5,3,Kris
584,6,2,Kris
585,4,5,Kris
586,3,4,Kris
587,4,2,Kris
588,1,4,Kris
589,3,3,Kris
590,1,4,Kris
591,4,3,Kris
592,1,2,Kris
593,6,4,Kris
594,3,6,Kris
595,5,4,Kris
596,5,4,Kris
597,1,3,Kris
598,6,5,Kris
599,6,1,Kris
600,2,3,Kris
601,4,6,Carey
602,3,3,Carey
603,6,3,Carey
604,4,1,Carey
605,1,3,Carey
606,6,5,Carey
607,1,5,Carey
608,6,4,Carey
609,4,1,Carey
610,1,1,Carey
611,1,3,Carey
612,5,5,Carey
613,1,1,Carey
614,5,4,Carey
615,3,6,Carey
616,6,3,Carey
617,3,1,Carey
618,4,3,Carey
619,3,3,Carey
620,3,3,Carey
621,1,2,Carey
622,1,4,Carey
623,4,1,Carey
624,3,6,Carey
625,6,3,Carey
626,6,5,Carey
627,5,6,Carey
628,3,6,Carey
629,3,3,Carey
630,5,5,Carey
631,3,6,Carey
632,5,1,Carey
633,4,2,Carey
634,2,3,Carey
635,4,2,Carey
636,4,5,Carey
637,3,3,Carey
638,1,6,Carey
639,4,5,Carey
640,2,1,Carey
641,5,5,Carey
642,3,4,Carey
643,4,1,Carey
644,6,3,Carey
645,5,5,Carey
646,1,2,Carey
647,2,2,Carey
648,3,6,Carey
649,4,1,Carey
650,1,1,Carey
651,1,5,Carey
652,4,1,Carey
653,4,6,Carey
654,2,1,Carey
655,4,4,Carey
656,5,1,Carey
657,4,3,Carey
658,4,6,Carey
659,1,4,Carey
660,5,6,Carey
661,4,6,Carey
662,1,4,Carey
663,6,5,Carey
664,6,1,Carey
665,2,3,Carey
666,1,2,Carey
667,5,4,Carey
668,3,6,Carey
669,3,6,Carey
670,4,2,Carey
671,3,5,Carey
672,1,2,Carey
673,1,5,Carey
674,5,5,Carey
675,3,5,Carey
676,6,5,Carey
677,1,5,Carey
678,4,3,Carey
679,2,5,Carey
680,6,3,Carey
681,2,1,Carey
682,4,1,Carey
683,1,2,Carey
684,4,5,Carey
685,6,2,Carey
686,2,6,Carey
687,4,4,Carey
688,1,3,Carey
689,5,3,Carey
690,2,5,Carey
691,6,1,Carey
692,2,3,Carey
693,6,6,Carey
694,5,3,Carey
695,4,2,Carey
696,6,1,Carey
697,5,3,Carey
698,1,4,Carey
699,1,2,Carey
700,4,4,Carey
701,4,3,Kris
702,5,6,Kris
703,3,1,Kris
704,4,1,Kris
705,3,5,Kris
706,4,4,Kris
707,6,3,Kris
708,6,3,Kris
709,6,4,Kris
710,5,2,Kris
711,6,6,Kris
712,3,4,Kris
713,4,3,Kris
714,3,2,Kris
715,6,5,Kris
716,3,3,Kris
717,1,6,Kris
718,1,1,Kris
719,5,3,Kris
720,5,4,Kris
721,4,1,Kris
722,1,2,Kris
723,6,1,Kris
724,2,1,Kris
725,3,5,Kris
726,3,4,Kris
727,5,3,Kris
728,2,3,Kris
729,2,4,Kris
730,1,3,Kris
731,6,4,Kris
732,2,1,Kris
733,6,4,Kris
734,5,1,Kris
735,3,2,Kris
736,1,3,Kris
737,2,2,Kris
738,5,3,Kris
739,5,4,Kris
740,6,4,Kris
741,1,1,Kris
742,1,3,Kris
743,4,2,Kris
744,6,3,Kris
745,4,2,Kris
746,1,3,Kris
747,5,2,Kris
748,2,4,Kris
749,3,5,Kris
750,1,5,Kris
751,4,2,Kris
752,1,3,Kris
753,3,4,Kris
754,6,2,Kris
755,1,2,Kris
756,2,5,Kris
757,6,4,Kris
758,2,4,Kris
759,2,5,Kris
760,5,4,Kris
761,2,6,Kris
762,6,5,Kris
763,6,2,Kris
764,4,5,Kris
765,2,1,Kris
766,6,5,Kris
767,6,2,Kris
768,1,1,Kris
769,2,5,Kris
770,6,3,Kris
771,5,3,Kris
772,6,2,Kris
773,2,3,Kris
774,4,5,Kris
775,5,5,Kris
776,2,5,Kris
777,1,3,Kris
778,6,6,Kris
779,6,5,Kris
780,2,5,Kris
781,5,6,Kris
782,2,1,Kris
783,1,6,Kris
784,1,4,Kris
785,3,4,Kris
786,6,5,Kris
787,1,1,Kris
788,2,3,Kris
789,5,5,Kris
790,4,2,Kris
791,2,4,Kris
792,3,5,Kris
793,3,5,Kris
794,1,2,Kris
795,2,4,Kris
796,4,4,Kris
797,4,2,Kris
798,6,2,Kris
799,3,4,Kris
800,1,4,Kris
801,6,1,Carey
802,3,4,Carey
803,3,3,Carey
804,6,5,Carey
805,3,4,Carey
806,6,3,Carey
807,2,1,Carey
808,3,2,Carey
809,3,2,Carey
810,6,6,Carey
811,2,6,Carey
812,4,2,Carey
813,6,2,Carey
814,1,1,Carey
815,4,3,Carey
816,1,1,Carey
817,2,3,Carey
818,4,4,Carey
819,4,3,Carey
820,2,4,Carey
821,4,4,Carey
822,5,4,Carey
823,3,4,Carey
824,6,4,Carey
825,5,2,Carey
826,4,4,Carey
827,6,2,Carey
828,3,5,Carey
829,4,4,Carey
830,2,3,Carey
831,3,1,Carey
832,3,4,Carey
833,1,4,Carey
834,1,1,Carey
835,4,1,Carey
836,6,5,Carey
837,5,1,Carey
838,3,6,Carey
839,4,6,Carey
840,1,4,Carey
841,2,6,Carey
842,4,1,Carey
843,4,1,Carey
844,6,6,Carey
845,5,5,Carey
846,3,3,Carey
847,2,5,Carey
848,1,6,Carey
849,5,1,Carey
850,5,5,Carey
851,6,3,Carey
852,6,4,Carey
853,2,4,Carey
854,3,5,Carey
855,4,5,Carey
856,3,3,Carey
857,5,2,Carey
858,3,3,Carey
859,4,5,Carey
860,4,6,Carey
861,6,3,Carey
862,6,3,Carey
863,1,4,Carey
864,1,1,Carey
865,5,6,Carey
866,2,3,Carey
867,5,2,Carey
868,4,4,Carey
869,3,5,Carey
870,4,4,Carey
871,6,6,Carey
872,2,1,Carey
873,6,5,Carey
874,1,3,Carey
875,4,6,Carey
876,3,3,Carey
877,2,3,Carey
878,5,6,Carey
879,4,5,Carey
880,6,6,Carey
881,2,2,Carey
882,2,3,Carey
883,5,3,Carey
884,1,1,Carey
885,1,1,Carey
886,6,2,Carey
887,5,6,Carey
888,5,4,Carey
889,1,2,Carey
890,2,1,Carey
891,3,3,Carey
892,3,1,Carey
893,4,5,Carey
894,2,2,Carey
895,6,3,Carey
896,4,4,Carey
897,5,1,Carey
898,1,2,Carey
899,5,5,Carey
900,1,5,Carey
901,1,1,Kris
902,4,5,Kris
903,4,6,Kris
904,2,2,Kris
905,5,2,Kris
906,3,3,Kris
907,4,4,Kris
908,2,6,Kris
909,1,5,Kris
910,1,1,Kris
911,2,3,Kris
912,6,2,Kris
913,2,5,Kris
914,1,6,Kris
915,6,4,Kris
916,3,5,Kris
917,5,4,Kris
918,1,2,Kris
919,5,6,Kris
920,1,5,Kris
921,4,6,Kris
922,1,1,Kris
923,6,1,Kris
924,4,5,Kris
925,1,5,Kris
926,2,5,Kris
927,4,5,Kris
928,6,3,Kris
929,6,6,Kris
930,1,3,Kris
931,5,4,Kris
932,3,6,Kris
933,3,3,Kris
934,6,3,Kris
935,5,5,Kris
936,6,2,Kris
937,6,5,Kris
938,4,1,Kris
939,3,5,Kris
940,2,5,Kris
941,3,3,Kris
942,1,1,Kris
943,6,5,Kris
944,6,1,Kris
945,3,2,Kris
946,5,3,Kris
947,5,3,Kris
948,3,6,Kris
949,1,6,Kris
950,1,5,Kris
951,3,5,Kris
952,1,6,Kris
953,5,2,Kris
954,2,5,Kris
955,1,2,Kris
956,3,6,Kris
957,6,6,Kris
958,5,5,Kris
959,2,6,Kris
960,5,5,Kris
961,4,1,Kris
962,3,5,Kris
963,4,1,Kris
964,4,1,Kris
965,3,3,Kris
966,3,5,Kris
967,2,3,Kris
968,5,1,Kris
969,6,1,Kris
970,4,2,Kris
971,6,4,Kris
972,5,3,Kris
973,5,6,Kris
974,6,5,Kris
975,5,3,Kris
976,4,6,Kris
977,2,3,Kris
978,4,2,Kris
979,6,4,Kris
980,4,5,Kris
981,5,3,Kris
982,6,3,Kris
983,5,4,Kris
984,5,5,Kris
985,1,4,Kris
986,4,5,Kris
987,3,5,Kris
988,5,5,Kris
989,1,4,Kris
990,4,1,Kris
991,5,6,Kris
992,4,5,Kris
993,6,4,Kris
994,3,5,Kris
995,5,2,Kris
996,1,6,Kris
997,5,1,Kris
998,2,2,Kris
999,4,6,Kris
1000,4,6,Kris
1001,6,1,Carey
1002,5,2,Carey
1003,5,6,Carey
1004,6,3,Carey
1005,2,4,Carey
1006,4,1,Carey
1007,3,1,Carey
1008,4,5,Carey
1009,6,3,Carey
1010,6,5,Carey
1011,1,4,Carey
1012,2,4,Carey
1013,3,3,Carey
1014,3,4,Carey
1015,6,4,Carey
1016,2,6,Carey
1017,4,6,Carey
1018,1,4,Carey
1019,3,5,Carey
1020,2,2,Carey
1021,3,5,Carey
1022,6,6,Carey
1023,6,3,Carey
1024,2,4,Carey
1025,3,5,Carey
1026,6,2,Carey
1027,2,3,Carey
1028,3,1,Carey
1029,5,1,Carey
1030,5,1,Carey
1031,1,4,Carey
1032,2,6,Carey
1033,1,2,Carey
1034,3,1,Carey
1035,3,1,Carey
1036,4,2,Carey
1037,6,4,Carey
1038,1,2,Carey
1039,1,2,Carey
1040,4,2,Carey
1041,1,1,Carey
1042,4,1,Carey
1043,2,6,Carey
1044,5,4,Carey
1045,1,4,Carey
1046,5,4,Carey
1047,3,1,Carey
1048,3,1,Carey
1049,4,6,Carey
1050,4,5,Carey
1051,4,1,Carey
1052,4,5,Carey
1053,2,3,Carey
1054,2,1,Carey
1055,4,1,Carey
1056,1,4,Carey
1057,6,4,Carey
1058,2,5,Carey
1059,1,1,Carey
1060,3,1,Carey
1061,4,6,Carey
1062,4,6,Carey
1063,4,3,Carey
1064,6,5,Carey
1065,5,6,Carey
1066,2,5,Carey
1067,2,4,Carey
1068,4,5,Carey
1069,4,5,Carey
1070,4,2,Carey
1071,1,5,Carey
1072,4,3,Carey
1073,2,4,Carey
1074,3,4,Carey
1075,1,1,Carey
1076,6,6,Carey
1077,1,1,Carey
1078,4,3,Carey
1079,5,2,Carey
1080,3,5,Carey
1081,3,2,Carey
1082,3,3,Carey
1083,1,4,Carey
1084,1,5,Carey
1085,3,4,Carey
1086,5,5,Carey
1087,5,1,Carey
1088,1,6,Carey
1089,1,3,Carey
1090,1,5,Carey
1091,5,4,Carey
1092,2,3,Carey
1093,2,6,Carey
1094,1,5,Carey
1095,5,6,Carey
1096,3,2,Carey
1097,5,2,Carey
1098,1,1,Carey
1099,1,2,Carey
1100,4,2,Carey
1101,6,3,Kris
1102,5,5,Kris
1103,4,2,Kris
1104,5,6,Kris
1105,6,4,Kris
1106,2,5,Kris
1107,3,2,Kris
1108,2,5,Kris
1109,5,3,Kris
1110,4,1,Kris
1111,3,4,Kris
1112,2,2,Kris
1113,6,3,Kris
1114,4,5,Kris
1115,6,5,Kris
1116,4,6,Kris
1117,1,1,Kris
1118,2,6,Kris
1119,2,1,Kris
1120,5,1,Kris
1121,4,5,Kris
1122,3,4,Kris
1123,6,4,Kris
1124,4,5,Kris
1125,3,5,Kris
1126,2,5,Kris
1127,3,3,Kris
1128,3,4,Kris
1129,3,6,Kris
1130,5,2,Kris
1131,1,2,Kris
1132,1,5,Kris
1133,5,4,Kris
1134,3,4,Kris
1135,2,1,Kris
1136,2,1,Kris
1137,6,6,Kris
1138,6,3,Kris
1139,6,6,Kris
1140,3,3,Kris
1141,3,6,Kris
1142,4,6,Kris
1143,3,6,Kris
1144,5,1,Kris
1145,6,6,Kris
1146,2,5,Kris
1147,4,3,Kris
1148,1,5,Kris
1149,3,5,Kris
1150,3,4,Kris
1151,1,3,Kris
1152,5,6,Kris
1153,4,6,Kris
1154,5,1,Kris
1155,6,1,Kris
1156,1,2,Kris
1157,1,1,Kris
1158,6,2,Kris
1159,6,3,Kris
1160,3,1,Kris
1161,1,6,Kris
1162,6,2,Kris
1163,1,3,Kris
1164,3,1,Kris
1165,3,3,Kris
1166,3,2,Kris
1167,6,3,Kris
1168,3,4,Kris
1169,4,3,Kris
1170,1,1,Kris
1171,4,5,Kris
1172,4,3,Kris
1173,5,4,Kris
1174,6,3,Kris
1175,5,5,Kris
1176,2,4,Kris
1177,6,1,Kris
1178,4,6,Kris
1179,5,1,Kris
1180,6,3,Kris
1181,2,5,Kris
1182,2,5,Kris
1183,4,4,Kris
1184,3,2,Kris
1185,5,2,Kris
1186,5,2,Kris
1187,4,2,Kris
1188,2,5,Kris
1189,5,4,Kris
1190,6,2,Kris
1191,3,5,Kris
1192,3,6,Kris
1193,3,3,Kris
1194,5,5,Kris
1195,3,1,Kris
1196,6,4,Kris
1197,1,5,Kris
1198,5,2,Kris
1199,6,3,Kris
1200,6,4,Kris
1201,3,6,Carey
1202,2,2,Carey
1203,4,5,Carey
1204,5,4,Carey
1205,2,4,Carey
1206,1,2,Carey
1207,6,3,Carey
1208,4,2,Carey
1209,6,5,Carey
1210,6,2,Carey
1211,6,3,Carey
1212,5,6,Carey
1213,4,4,Carey
1214,1,4,Carey
1215,6,5,Carey
1216,4,1,Carey
1217,6,2,Carey
1218,6,6,Carey
1219,4,4,Carey
1220,1,3,Carey
1221,6,3,Carey
1222,4,2,Carey
1223,1,2,Carey
1224,4,2,Carey
1225,6,4,Carey
1226,6,1,Carey
1227,3,6,Carey
1228,6,2,Carey
1229,2,6,Carey
1230,4,5,Carey
1231,4,1,Carey
1232,3,5,Carey
1233,5,2,Carey
1234,6,2,Carey
1235,3,5,Carey
1236,3,5,Carey
1237,3,3,Carey
1238,1,4,Carey
1239,2,2,Carey
1240,5,2,Carey
1241,5,5,Carey
1242,4,4,Carey
1243,5,5,Carey
1244,1,2,Carey
1245,4,6,Carey
1246,3,2,Carey
1247,6,5,Carey
1248,3,6,Carey
1249,4,1,Carey
1250,2,2,Carey
1251,6,2,Carey
1252,2,4,Carey
1253,1,1,Carey
1254,4,4,Carey
1255,1,6,Carey
1256,4,4,Carey
1257,4,3,Carey
1258,6,1,Carey
1259,4,3,Carey
1260,2,5,Carey
1261,5,4,Carey
1262,6,3,Carey
1263,1,3,Carey
1264,1,5,Carey
1265,2,1,Carey
1266,1,3,Carey
1267,4,3,Carey
1268,5,4,Carey
1269,6,2,Carey
1270,2,3,Carey
1271,1,2,Carey
1272,1,2,Carey
1273,6,1,Carey
1274,5,4,Carey
1275,3,3,Carey
1276,4,2,Carey
1277,5,5,Carey
1278,4,3,Carey
1279,6,5,Carey
1280,4,5,Carey
1281,4,3,Carey
1282,2,5,Carey
1283,2,2,Carey
1284,5,5,Carey
1285,1,1,Carey
1286,5,6,Carey
1287,5,2,Carey
1288,4,2,Carey
1289,2,1,Carey
1290,5,4,Carey
1291,2,5,Carey
1292,6,3,Carey
1293,3,6,Carey
1294,3,5,Carey
1295,6,6,Carey
1296,5,6,Carey
1297,5,6,Carey
1298,5,4,Carey
1299,2,2,Carey
1300,1,1,Carey
1301,2,3,Kris
1302,2,4,Kris
1303,1,3,Kris
1304,5,2,Kris
1305,1,4,Kris
1306,1,3,Kris
1307,5,6,Kris
1308,6,1,Kris
1309,3,5,Kris
1310,2,3,Kris
1311,4,6,Kris
1312,4,5,Kris
1313,4,3,Kris
1314,2,2,Kris
1315,1,2,Kris
1316,4,6,Kris
1317,5,5,Kris
1318,2,6,Kris
1319,4,3,Kris
1320,3,2,Kris
1321,4,2,Kris
1322,2,3,Kris
1323,3,2,Kris
1324,5,5,Kris
1325,5,3,Kris
1326,6,6,Kris
1327,6,3,Kris
1328,5,3,Kris
1329,1,4,Kris
1330,4,5,Kris
1331,1,2,Kris
1332,2,4,Kris
1333,4,5,Kris
1334,4,4,Kris
1335,2,1,Kris
1336,5,1,Kris
1337,6,6,Kris
1338,4,6,Kris
1339,2,2,Kris
1340,5,3,Kris
1341,5,4,Kris
1342,2,1,Kris
1343,4,3,Kris
1344,1,2,Kris
1345,6,6,Kris
1346,6,4,Kris
1347,6,6,Kris
1348,6,6,Kris
1349,3,1,Kris
1350,4,1,Kris
1351,3,1,Kris
1352,4,3,Kris
1353,2,1,Kris
1354,4,2,Kris
1355,2,5,Kris
1356,3,3,Kris
1357,5,1,Kris
1358,4,5,Kris
1359,6,3,Kris
1360,6,2,Kris
1361,1,1,Kris
