Season,Team1,Q1,Q2,Q3,Q4,OT,2OT,3OT,Final,Team2,Q1,Q2,Q3,Q4,OT,2OT,3OT,Final,Date
2000,CHI,25,24,19,29,0,0,0,97,ATL,26,35,31,21,0,0,0,113,19991106
2000,NYK,26,24,20,23,0,0,0,93,CLE,37,18,22,25,0,0,0,102,19991106
2000,DAL,34,30,27,29,0,0,0,120,GSW,18,25,28,26,0,0,0,97,19991106
2000,BOS,23,22,31,32,0,0,0,108,IND,34,26,21,34,0,0,0,115,19991106
2000,DET,32,31,23,25,0,0,0,111,MIL,31,22,31,37,0,0,0,121,19991106
2000,SAC,27,36,18,20,0,0,0,101,MIN,26,35,27,26,0,0,0,114,19991106
2000,LAL,24,21,19,18,0,0,0,82,POR,25,30,21,21,0,0,0,97,19991106
2000,UTA,26,30,15,23,0,0,0,94,SEA,23,21,30,25,0,0,0,99,19991106
2000,DEN,27,26,18,23,0,0,0,94,VAN,26,27,35,21,0,0,0,109,19991106
2000,ORL,24,17,28,38,0,0,0,107,WAS,27,15,26,36,0,0,0,104,19991106
2000,DAL,16,29,21,31,0,0,0,97,LAL,29,23,29,24,0,0,0,105,19991107
2000,WAS,17,29,22,19,0,0,0,87,NJN,29,24,22,37,0,0,0,112,19991107
2000,SAS,19,19,20,16,0,0,0,74,PHO,12,19,20,26,0,0,0,77,19991107
2000,CHH,20,26,29,24,0,0,0,99,TOR,18,32,30,29,0,0,0,109,19991107
2000,ATL,33,21,27,19,0,0,0,100,DEN,32,22,31,30,0,0,0,115,19991108
2000,ORL,22,36,21,23,0,0,0,102,HOU,31,30,15,21,0,0,0,97,19991108
2000,UTA,25,20,25,24,0,0,0,94,LAC,16,19,21,23,0,0,0,79,19991108
2000,MIL,22,27,32,16,4,0,0,101,NYK,33,17,22,25,14,0,0,111,19991108
2000,SEA,25,26,28,19,0,0,0,98,PHI,27,21,30,39,0,0,0,117,19991108
2000,PHO,33,31,23,16,0,0,0,103,CHI,26,21,18,15,0,0,0,80,19991109
2000,LAL,25,29,34,35,0,0,0,123,DAL,22,27,22,30,0,0,0,101,19991109
2000,SAS,34,29,31,24,0,0,0,118,GSW,9,33,20,27,0,0,0,89,19991109
2000,IND,28,27,23,23,0,0,0,101,MIA,40,24,33,16,0,0,0,113,19991109
2000,POR,23,20,26,18,0,0,0,87,UTA,19,24,25,24,0,0,0,92,19991109
2000,DET,24,27,23,36,0,0,0,110,BOS,24,19,31,18,0,0,0,92,19991110
2000,MIL,25,23,42,21,0,0,0,111,CHH,26,34,28,29,0,0,0,117,19991110
2000,LAL,24,26,18,21,0,0,0,89,HOU,22,27,17,22,0,0,0,88,19991110
2000,SAS,30,21,23,25,0,0,0,99,LAC,20,26,27,21,0,0,0,94,19991110
2000,PHO,33,23,23,25,0,0,0,104,NJN,16,20,22,31,0,0,0,89,19991110
2000,PHI,24,23,29,29,0,0,0,105,ORL,25,20,28,37,0,0,0,110,19991110
2000,ATL,25,26,19,21,6,0,0,97,VAN,29,22,22,18,11,0,0,102,19991110
2000,SEA,35,30,24,20,0,0,0,109,WAS,27,31,20,17,0,0,0,95,19991110
2000,SEA,36,20,29,24,0,0,0,109,CLE,28,32,13,30,0,0,0,103,19991111
2000,TOR,41,33,24,25,0,0,0,123,DET,28,29,30,19,0,0,0,106,19991111
2000,ORL,24,23,30,24,0,0,0,101,IND,23,30,29,34,0,0,0,116,19991111
2000,DAL,32,18,26,29,0,0,0,105,MIA,43,31,23,31,0,0,0,128,19991111
2000,NYK,31,20,23,16,0,0,0,90,MIN,19,26,21,27,0,0,0,93,19991111
2000,NYK,20,13,25,16,0,0,0,74,BOS,26,20,23,11,0,0,0,80,19991112
2000,NJN,28,24,18,22,0,0,0,92,CHH,29,18,24,25,0,0,0,96,19991112
2000,POR,23,30,16,24,0,0,0,93,DEN,18,17,26,17,0,0,0,78,19991112
2000,HOU,23,29,24,21,0,0,0,97,LAL,16,20,18,27,0,0,0,81,19991112
2000,PHO,25,28,14,25,0,0,0,92,MIL,29,29,31,18,0,0,0,107,19991112
2000,CHI,25,25,13,23,0,0,0,86,PHI,25,22,26,19,0,0,0,92,19991112
2000,UTA,17,27,21,27,0,0,0,92,SAC,17,34,26,28,0,0,0,105,19991112
2000,GSW,29,29,24,21,0,0,0,103,VAN,17,24,20,32,0,0,0,93,19991112
2000,MIA,35,18,24,27,0,0,0,104,WAS,15,33,26,21,0,0,0,95,19991112
2000,BOS,23,20,26,22,0,0,0,91,CHI,15,26,24,27,0,0,0,92,19991113
2000,MIL,22,30,31,29,0,0,0,112,CLE,29,33,20,35,0,0,0,117,19991113
2000,ORL,32,35,22,28,0,0,0,117,DAL,30,26,33,36,0,0,0,125,19991113
2000,SEA,30,22,23,24,0,0,0,99,DET,33,21,28,25,0,0,0,107,19991113
2000,HOU,27,27,21,28,0,0,0,103,GSW,25,20,26,24,0,0,0,95,19991113
2000,WAS,15,26,15,27,0,0,0,83,IND,23,31,28,23,0,0,0,105,19991113
2000,PHO,25,19,25,31,0,0,0,100,MIN,25,29,31,26,0,0,0,111,19991113
2000,ATL,24,20,29,22,0,0,0,95,POR,35,41,24,31,0,0,0,131,19991113
2000,CHH,23,19,17,20,0,0,0,79,SAS,27,20,24,24,0,0,0,95,19991113
2000,ATL,21,14,22,31,0,0,0,88,LAL,35,22,20,16,0,0,0,93,19991114
2000,MIA,27,20,27,20,0,0,0,94,NYK,19,20,22,27,0,0,0,88,19991114
2000,DEN,32,31,32,21,0,0,0,116,SAC,28,33,34,31,0,0,0,126,19991114
2000,PHI,27,28,20,18,0,0,0,93,TOR,24,21,21,24,0,0,0,90,19991114
2000,LAC,25,17,23,24,0,0,0,89,VAN,20,27,33,29,0,0,0,109,19991114
2000,IND,30,10,22,34,0,0,0,96,HOU,25,20,22,20,0,0,0,87,19991115
2000,SEA,28,29,24,19,0,0,0,100,NJN,27,16,24,25,0,0,0,92,19991115
2000,LAL,28,18,21,24,0,0,0,91,PHO,23,23,18,18,0,0,0,82,19991115
2000,SAS,32,19,19,15,0,0,0,85,UTA,25,25,21,20,0,0,0,91,19991115
2000,CHH,25,28,26,19,0,0,0,98,ATL,32,25,24,22,0,0,0,103,19991116
2000,HOU,27,21,27,20,0,0,0,95,DAL,35,21,32,26,0,0,0,114,19991116
2000,NYK,28,18,28,28,0,0,0,102,DEN,20,28,22,25,0,0,0,95,19991116
2000,CHI,19,14,17,29,0,0,0,79,GSW,24,29,24,22,0,0,0,99,19991116
2000,POR,23,31,20,27,0,0,0,101,MIA,31,20,20,25,0,0,0,96,19991116
2000,LAC,21,23,25,24,0,0,0,93,MIL,21,25,28,27,0,0,0,101,19991116
2000,VAN,23,21,18,15,0,0,0,77,SAC,22,21,25,13,0,0,0,81,19991116
2000,IND,24,19,15,18,11,0,0,87,SAS,17,16,17,26,14,0,0,90,19991116
2000,DET,17,23,29,16,0,0,0,85,TOR,17,26,23,23,0,0,0,89,19991116
2000,PHI,26,21,25,23,0,0,0,95,WAS,10,25,23,15,0,0,0,73,19991116
2000,CLE,30,27,26,20,0,0,0,103,BOS,20,27,29,38,0,0,0,114,19991117
2000,DAL,30,11,24,34,0,0,0,99,CHH,25,31,24,24,0,0,0,104,19991117
2000,NJN,35,26,26,20,0,0,0,107,DET,25,32,32,20,0,0,0,109,19991117
2000,LAC,21,24,16,28,0,0,0,89,MIN,20,25,25,15,0,0,0,85,19991117
2000,POR,16,22,21,22,0,0,0,81,ORL,22,23,19,15,0,0,0,79,19991117
2000,MIA,29,21,21,27,0,0,0,98,PHI,24,19,25,25,0,0,0,93,19991117
2000,CHI,26,24,11,20,0,0,0,81,PHO,34,27,21,23,0,0,0,105,19991117
2000,GSW,32,26,25,25,0,0,0,108,SEA,36,21,32,22,0,0,0,111,19991117
2000,NYK,23,19,29,19,0,0,0,90,UTA,36,24,17,21,0,0,0,98,19991117
2000,LAL,22,20,17,23,0,0,0,82,DEN,17,22,30,24,0,0,0,93,19991118
2000,SAC,23,35,38,32,0,0,0,128,HOU,37,26,31,16,0,0,0,110,19991118
2000,SAS,19,25,24,20,0,0,0,88,MIL,23,22,23,31,0,0,0,99,19991118
2000,SEA,31,20,27,32,0,0,0,110,VAN,28,27,29,24,0,0,0,108,19991118
2000,TOR,19,25,21,16,0,0,0,81,WAS,25,25,20,22,0,0,0,92,19991118
2000,NJN,25,15,36,20,0,0,0,96,BOS,29,22,30,28,0,0,0,109,19991119
2000,SAC,26,29,20,28,0,0,0,103,DAL,30,24,24,16,0,0,0,94,19991119
2000,CLE,26,16,17,31,0,0,0,90,DET,33,26,21,21,0,0,0,101,19991119
2000,ATL,31,27,26,21,0,0,0,105,IND,28,28,18,25,0,0,0,99,19991119
2000,CHI,21,19,23,32,0,0,0,95,LAL,30,19,29,25,0,0,0,103,19991119
2000,UTA,12,17,28,27,0,0,0,84,MIN,20,14,31,24,0,0,0,89,19991119
2000,CHH,28,30,23,22,0,0,0,103,ORL,25,19,15,33,0,0,0,92,19991119
2000,POR,29,24,23,21,0,0,0,97,PHI,21,20,27,23,0,0,0,91,19991119
2000,NYK,24,16,18,23,0,0,0,81,PHO,27,28,20,21,0,0,0,96,19991119
2000,LAC,21,23,28,28,0,0,0,100,TOR,28,24,18,36,0,0,0,106,19991119
2000,ORL,25,25,31,26,0,0,0,107,ATL,28,25,24,26,0,0,0,103,19991120
2000,POR,29,20,19,18,14,0,0,100,CHH,27,22,22,15,10,0,0,96,19991120
2000,IND,28,24,31,24,0,0,0,107,CLE,36,22,16,24,0,0,0,98,19991120
2000,CHI,28,19,18,21,0,0,0,86,DEN,22,19,33,21,0,0,0,95,19991120
2000,NYK,29,27,8,22,0,0,0,86,GSW,18,18,19,24,0,0,0,79,19991120
2000,BOS,27,22,18,25,0,0,0,92,MIA,28,26,26,30,0,0,0,110,19991120
2000,UTA,23,30,35,23,0,0,0,111,MIL,18,25,28,29,0,0,0,100,19991120
2000,PHI,22,33,30,15,0,0,0,100,NJN,25,24,21,26,0,0,0,96,19991120
2000,DAL,21,15,23,31,0,0,0,90,SAS,26,22,29,29,0,0,0,106,19991120
2000,HOU,25,19,29,34,0,0,0,107,SEA,28,24,26,32,0,0,0,110,19991120
2000,LAC,27,29,18,24,0,0,0,98,WAS,25,16,27,21,0,0,0,89,19991120
2000,MIL,31,20,21,22,0,0,0,94,DET,35,27,27,24,0,0,0,113,19991121
2000,TOR,32,26,23,30,0,0,0,111,LAL,23,29,27,23,0,0,0,102,19991121
2000,SEA,23,23,19,21,0,0,0,86,PHO,17,30,27,25,0,0,0,99,19991121
2000,HOU,21,29,27,28,0,0,0,105,SAC,33,27,23,27,0,0,0,110,19991121
2000,MIN,33,22,25,25,0,0,0,105,VAN,27,25,16,13,0,0,0,81,19991121
2000,IND,23,17,25,20,0,0,0,85,BOS,22,21,18,34,0,0,0,95,19991122
2000,SAS,27,15,21,31,0,0,0,94,PHI,17,25,25,24,0,0,0,91,19991122
2000,MIN,30,24,26,13,0,0,0,93,UTA,33,36,17,22,0,0,0,108,19991122
2000,MIA,28,27,29,22,0,0,0,106,ATL,28,26,32,27,0,0,0,113,19991123
2000,POR,19,22,26,33,0,0,0,100,CLE,32,19,23,29,0,0,0,103,19991123
2000,DAL,24,30,25,20,0,0,0,99,HOU,32,25,37,25,0,0,0,119,19991123
2000,NYK,24,25,25,21,0,0,0,95,LAC,39,26,19,16,0,0,0,100,19991123
2000,TOR,26,27,17,23,0,0,0,93,PHO,22,25,26,21,0,0,0,94,19991123
2000,NJN,30,20,25,17,0,0,0,92,SAC,26,34,29,16,0,0,0,105,19991123
2000,VAN,16,31,23,17,0,0,0,87,WAS,24,14,26,25,0,0,0,89,19991123
2000,SAS,33,33,30,25,0,0,0,121,BOS,20,22,23,33,0,0,0,98,19991124
2000,VAN,25,16,12,20,0,0,0,73,CHH,23,23,19,24,0,0,0,89,19991124
2000,TOR,26,20,17,21,0,0,0,84,DEN,27,26,26,30,0,0,0,109,19991124
2000,NJN,21,30,13,28,0,0,0,92,GSW,22,23,18,21,0,0,0,84,19991124
2000,UTA,12,17,27,26,0,0,0,82,LAL,21,17,30,22,0,0,0,90,19991124
2000,ATL,19,27,21,24,0,0,0,91,MIA,19,20,28,26,0,0,0,93,19991124
2000,CHI,15,30,35,15,0,0,0,95,MIL,24,23,28,27,0,0,0,102,19991124
2000,POR,19,17,29,23,0,0,0,88,MIN,20,20,18,23,0,0,0,81,19991124
2000,DAL,23,26,24,27,0,0,0,100,ORL,29,32,20,31,0,0,0,112,19991124
2000,WAS,25,19,28,29,0,0,0,101,PHI,27,29,17,20,0,0,0,93,19991124
2000,DET,27,25,22,33,0,0,0,107,IND,29,30,20,20,0,0,0,99,19991125
2000,MIL,24,24,31,35,0,0,0,114,BOS,42,24,26,20,0,0,0,112,19991126
2000,WAS,24,8,25,28,0,0,0,85,CHH,32,31,25,30,0,0,0,118,19991126
2000,MIN,28,20,27,30,0,0,0,105,DEN,26,31,20,37,0,0,0,114,19991126
2000,ATL,29,16,26,20,0,0,0,91,DET,30,22,17,24,0,0,0,93,19991126
2000,VAN,24,17,24,21,0,0,0,86,IND,28,24,25,28,0,0,0,105,19991126
2000,NJN,20,18,21,21,0,0,0,80,LAL,27,20,26,30,0,0,0,103,19991126
2000,CLE,24,21,21,17,0,0,0,83,PHI,30,31,24,21,0,0,0,106,19991126
2000,HOU,15,29,17,19,8,0,0,88,POR,25,24,20,11,11,0,0,91,19991126
2000,GSW,18,25,35,17,0,0,0,95,SAC,28,34,29,33,0,0,0,124,19991126
2000,CHI,17,15,28,18,0,0,0,78,SAS,21,27,23,30,0,0,0,101,19991126
2000,LAC,21,30,27,15,0,0,0,93,SEA,27,20,33,18,0,0,0,98,19991126
2000,TOR,29,27,17,27,0,0,0,100,UTA,21,32,18,16,0,0,0,87,19991126
2000,BOS,28,21,24,11,0,0,0,84,ATL,22,20,26,26,0,0,0,94,19991127
2000,CHH,13,28,22,26,0,0,0,89,CLE,32,24,19,31,0,0,0,106,19991127
2000,CHI,20,26,10,27,0,0,0,83,DAL,24,23,22,26,0,0,0,95,19991127
2000,TOR,37,28,21,20,0,0,0,106,GSW,19,16,31,22,0,0,0,88,19991127
2000,POR,27,27,19,15,0,0,0,88,LAC,21,15,13,22,0,0,0,71,19991127
2000,WAS,22,22,23,19,0,0,0,86,MIA,30,18,17,24,0,0,0,89,19991127
2000,PHI,19,23,23,17,0,0,0,82,MIL,23,25,20,11,0,0,0,79,19991127
2000,VAN,12,18,26,26,0,0,0,82,MIN,23,33,31,26,0,0,0,113,19991127
2000,ORL,29,21,23,23,0,0,0,96,NYK,30,19,29,21,0,0,0,99,19991127
2000,NJN,16,25,30,19,0,0,0,90,PHO,30,30,37,32,0,0,0,129,19991127
2000,DEN,18,24,24,21,0,0,0,87,SAS,27,22,20,37,0,0,0,106,19991127
2000,ORL,31,26,36,15,0,0,0,108,DET,24,26,21,28,0,0,0,99,19991128
2000,IND,16,26,23,26,0,0,0,91,SEA,33,21,31,17,0,0,0,102,19991128
2000,SAC,21,18,26,23,0,0,0,88,MIA,27,25,26,20,0,0,0,98,19991129
2000,DAL,18,13,28,23,0,0,0,82,NYK,29,27,35,16,0,0,0,107,19991129
2000,IND,23,25,24,21,0,0,0,93,POR,26,18,28,19,0,0,0,91,19991129
2000,GSW,19,27,20,33,0,0,0,99,UTA,41,25,28,21,0,0,0,115,19991129
2000,HOU,28,27,20,25,18,0,0,118,VAN,33,22,16,29,10,0,0,110,19991129
2000,DAL,19,24,28,28,0,0,0,99,CLE,38,19,23,26,0,0,0,106,19991130
2000,PHO,25,17,25,27,0,0,0,94,LAC,21,21,17,21,0,0,0,80,19991130
2000,DEN,27,36,16,13,0,0,0,92,MIN,28,26,33,22,0,0,0,109,19991130
2000,WAS,18,17,24,26,0,0,0,85,NJN,25,24,18,11,0,0,0,78,19991130
2000,SAC,24,33,29,25,0,0,0,111,ORL,24,29,25,24,0,0,0,102,19991130
2000,NYK,17,14,16,23,0,0,0,70,PHI,16,15,18,25,0,0,0,74,19991130
2000,DET,25,21,17,24,0,0,0,87,SAS,22,25,40,19,0,0,0,106,19991130
2000,LAL,23,29,23,26,0,0,0,101,SEA,23,16,20,18,0,0,0,77,19991130
2000,ATL,36,28,19,24,0,0,0,107,TOR,23,20,26,20,0,0,0,89,19991130
2000,DET,30,23,22,21,0,0,0,96,DEN,30,25,23,22,0,0,0,100,19991201
2000,GSW,18,10,20,27,0,0,0,75,LAL,21,21,24,27,0,0,0,93,19991201
2000,PHI,24,20,18,21,0,0,0,83,MIA,28,16,24,22,0,0,0,90,19991201
2000,HOU,30,30,24,19,12,7,0,122,PHO,20,32,27,24,12,13,0,128,19991201
2000,CHH,20,26,28,16,0,0,0,90,POR,28,30,16,20,0,0,0,94,19991201
2000,IND,26,17,28,25,0,0,0,96,VAN,22,20,30,17,0,0,0,89,19991201
2000,CLE,22,34,21,34,0,0,0,111,WAS,30,21,28,29,0,0,0,108,19991201
2000,SAC,42,25,16,17,0,0,0,100,ATL,28,30,26,26,0,0,0,110,19991202
2000,DAL,32,23,25,21,0,0,0,101,CHI,21,16,24,34,0,0,0,95,19991202
2000,SEA,36,28,26,27,0,0,0,117,GSW,28,23,27,30,0,0,0,108,19991202
2000,HOU,27,31,21,30,0,0,0,109,LAC,24,24,23,25,0,0,0,96,19991202
2000,NYK,21,17,26,20,0,0,0,84,MIL,18,24,16,22,0,0,0,80,19991202
2000,ORL,26,29,22,26,0,0,0,103,MIN,28,22,20,23,0,0,0,93,19991202
2000,SAS,24,15,32,25,0,0,0,96,NJN,25,21,21,27,0,0,0,94,19991202
2000,MIA,21,19,21,23,0,0,0,84,BOS,23,22,24,27,0,0,0,96,19991203
2000,PHI,21,21,23,26,11,0,0,102,CLE,30,22,25,14,9,0,0,100,19991203
2000,ORL,22,32,30,28,0,0,0,112,DEN,29,24,25,22,0,0,0,100,19991203
2000,SAS,23,18,18,21,0,0,0,80,DET,25,28,25,24,0,0,0,102,19991203
2000,POR,25,11,23,21,0,0,0,80,LAL,18,19,25,31,0,0,0,93,19991203
2000,WAS,25,15,25,28,0,0,0,93,TOR,32,21,20,22,0,0,0,95,19991203
2000,IND,27,28,25,20,0,0,0,100,UTA,23,17,19,16,0,0,0,75,19991203
2000,CHH,27,29,27,30,0,0,0,113,VAN,25,21,22,26,0,0,0,94,19991203
2000,DET,31,29,23,27,0,0,0,110,ATL,28,24,33,27,0,0,0,112,19991204
2000,MIL,28,25,25,14,0,0,0,92,CHI,17,24,30,20,0,0,0,91,19991204
2000,UTA,22,23,26,23,0,0,0,94,GSW,19,24,18,21,0,0,0,82,19991204
2000,PHO,23,20,26,26,0,0,0,95,HOU,26,27,26,26,0,0,0,105,19991204
2000,SEA,31,27,27,17,0,0,0,102,LAC,31,22,16,20,0,0,0,89,19991204
2000,DAL,29,16,29,29,0,0,0,103,MIN,17,28,17,22,0,0,0,84,19991204
2000,NYK,25,21,26,20,0,0,0,92,NJN,15,19,26,22,0,0,0,82,19991204
2000,BOS,16,18,20,20,0,0,0,74,PHI,28,17,12,20,0,0,0,77,19991204
2000,SAC,35,26,27,26,0,0,0,114,WAS,27,22,28,27,0,0,0,104,19991204
2000,ORL,19,30,23,28,0,0,0,100,LAL,34,33,25,25,0,0,0,117,19991205
2000,DAL,16,26,19,36,0,0,0,97,MIL,24,29,22,28,0,0,0,103,19991205
2000,DEN,16,15,23,26,0,0,0,80,NYK,20,20,22,16,0,0,0,78,19991205
2000,POR,17,25,29,21,0,0,0,92,PHO,30,21,17,22,0,0,0,90,19991205
2000,CHH,25,24,26,28,0,0,0,103,SEA,20,24,21,16,0,0,0,81,19991205
2000,SAS,22,22,26,22,0,0,0,92,TOR,21,24,29,24,0,0,0,98,19991205
2000,VAN,31,27,18,23,0,0,0,99,HOU,26,28,31,17,0,0,0,102,19991206
2000,MIA,25,21,26,27,0,0,0,99,LAC,31,13,22,25,0,0,0,91,19991206
2000,SAC,34,20,15,26,0,0,0,95,NJN,26,26,30,27,0,0,0,109,19991206
2000,DEN,22,20,16,36,0,0,0,94,PHI,24,19,17,17,0,0,0,77,19991206
2000,WAS,30,19,22,25,0,0,0,96,UTA,32,20,29,21,0,0,0,102,19991206
2000,VAN,23,28,24,29,0,0,0,104,DAL,28,22,28,17,0,0,0,95,19991207
2000,SAS,21,18,16,22,0,0,0,77,IND,15,27,16,25,0,0,0,83,19991207
2000,WAS,19,21,13,27,0,0,0,80,LAL,19,22,17,33,0,0,0,91,19991207
2000,DET,22,24,38,32,0,0,0,116,MIL,31,31,26,24,0,0,0,112,19991207
2000,GSW,21,17,19,26,0,0,0,83,NYK,30,19,19,21,0,0,0,89,19991207
2000,ORL,27,27,26,27,0,0,0,107,PHO,34,26,20,30,0,0,0,110,19991207
2000,MIA,24,23,20,19,0,0,0,86,POR,25,18,20,13,0,0,0,76,19991207
2000,CLE,28,26,13,31,0,0,0,98,TOR,23,20,31,27,0,0,0,101,19991207
2000,LAC,23,24,16,18,0,0,0,81,ATL,21,24,26,28,0,0,0,99,19991208
2000,DEN,23,18,21,28,0,0,0,90,BOS,28,34,28,25,0,0,0,115,19991208
2000,GSW,23,33,22,28,0,0,0,106,CHH,35,26,28,24,0,0,0,113,19991208
2000,CHI,27,15,25,26,0,0,0,93,CLE,27,31,21,28,0,0,0,107,19991208
2000,MIL,18,24,27,21,0,0,0,90,NJN,31,28,18,30,0,0,0,107,19991208
2000,HOU,17,20,16,20,0,0,0,73,PHI,16,22,17,28,0,0,0,83,19991208
2000,LAL,19,23,22,27,0,0,0,91,SAC,17,32,24,30,0,0,0,103,19991208
2000,MIN,28,24,17,25,0,0,0,94,SEA,34,23,27,26,0,0,0,110,19991208
2000,DAL,25,15,11,28,0,0,0,79,UTA,22,24,16,23,0,0,0,85,19991208
2000,WAS,18,19,29,19,0,0,0,85,PHO,28,25,30,16,0,0,0,99,19991209
2000,MIN,19,13,28,26,0,0,0,86,POR,24,17,27,22,0,0,0,90,19991209
2000,VAN,24,16,27,24,0,0,0,91,SAS,17,22,33,27,0,0,0,99,19991209
2000,GSW,26,30,24,27,0,0,0,107,ATL,20,22,31,26,0,0,0,99,19991210
2000,HOU,16,29,22,29,0,0,0,96,BOS,32,30,15,23,0,0,0,100,19991210
2000,DEN,16,30,31,22,0,0,0,99,CHH,33,27,20,26,0,0,0,106,19991210
2000,NJN,21,18,21,9,0,0,0,69,CHI,22,19,15,15,0,0,0,71,19991210
2000,LAC,20,22,19,22,0,0,0,83,DET,23,27,30,27,0,0,0,107,19991210
2000,CLE,25,23,17,23,0,0,0,88,IND,42,27,37,30,0,0,0,136,19991210
2000,PHI,21,23,14,20,0,0,0,78,NYK,26,14,22,23,0,0,0,85,19991210
2000,MIA,32,22,24,29,0,0,0,107,SAC,36,15,29,17,0,0,0,97,19991210
2000,MIL,33,18,26,30,0,0,0,107,TOR,29,19,14,29,0,0,0,91,19991210
2000,SEA,21,18,24,20,0,0,0,83,UTA,23,32,20,26,0,0,0,101,19991210
2000,ATL,29,28,27,32,0,0,0,116,CLE,39,37,23,28,0,0,0,127,19991211
2000,PHO,20,24,29,42,0,0,0,115,DAL,27,30,36,27,0,0,0,120,19991211
2000,LAC,22,24,25,19,0,0,0,90,IND,23,36,20,29,0,0,0,108,19991211
2000,DEN,25,23,23,30,0,0,0,101,MIL,29,22,28,20,0,0,0,99,19991211
2000,GSW,20,32,26,26,0,0,0,104,MIN,35,20,7,14,0,0,0,76,19991211
2000,HOU,23,20,15,36,0,0,0,94,NJN,32,23,26,25,0,0,0,106,19991211
2000,CHI,26,26,23,12,0,0,0,87,ORL,20,36,31,21,0,0,0,108,19991211
2000,CHH,32,26,28,20,0,0,0,106,PHI,16,23,20,25,0,0,0,84,19991211
2000,POR,23,29,26,23,0,0,0,101,SAC,31,19,24,22,0,0,0,96,19991211
2000,WAS,24,24,23,28,0,0,0,99,SAS,22,22,24,21,0,0,0,89,19991211
2000,MIA,18,20,19,31,0,0,0,88,SEA,23,19,21,29,0,0,0,92,19991211
2000,LAL,23,26,21,36,0,0,0,106,VAN,23,27,19,25,0,0,0,94,19991211
2000,DET,25,26,13,29,0,0,0,93,LAL,25,33,19,24,0,0,0,101,19991212
2000,BOS,26,17,18,36,0,0,0,97,NYK,24,31,18,26,0,0,0,99,19991212
2000,UTA,18,20,34,31,0,0,0,103,TOR,15,15,27,31,0,0,0,88,19991212
